channel,median_error_cells64,median_max_probability,median_effective_support_cells,mean_coordinate_loss,mean_unweighted_deadzone_loss,coordinate_gradient_l2,weighted_deadzone_gradient_l2,deadzone_to_coordinate_norm_ratio,coordinate_deadzone_cosine,coordinate_descent_multiplier,harmful_cancellation_fraction,seed,gate_eval_median_error_cells64,failed_coordinate_gate,saturated
0,0.07242149747720084,0.23218624634156404,50.184920938776,3.1613346424625806e-06,0.7768611390900795,0.00015277080364301863,8.274257212892768e-06,0.05416124688476029,-0.8493406601051344,0.9539986508187805,0.04600134918121945,42,0.0363534614443779,False,False
1,3.968612312752545,0.9983197135552695,1.0026544213671948,0.0074040576802140105,4.986507084790242,2.2831843266495965e-06,4.018552830915413e-06,1.760065003955393,-0.8989500697711464,-0.5822105581074535,1.5822105581074535,42,3.969742774963379,True,True
2,0.02075781581021302,0.718672249493138,1.965891859947726,2.575623873848203e-06,2.899702100931523,6.885626027549807e-06,8.995248192759845e-06,1.306380590053731,-0.7900356498318742,-0.03208723839084682,1.0320872383908468,42,0.03716685622930527,False,False
3,4.343290990000339,0.9990612411362684,1.0082368516247604,0.009091158793269844,6.1558574953365355,2.0994155796560775e-06,5.139981916337897e-07,0.2448291784697492,-0.9286913341002508,0.7726292636202602,0.2273707363797398,42,4.395963668823242,True,True
4,0.0115272016825945,0.22566002330916396,36.65174111252768,7.560151096420607e-08,0.2857097650290055,8.920008020943499e-06,2.2346607287746182e-06,0.25052227795398896,0.2958195966494266,1.0741093992160446,0.0,42,0.039541009813547134,False,False
5,0.0148791328073865,0.2911091555866322,30.388799328907044,1.594423275544743e-07,0.1462942260295697,1.3827073957651345e-05,1.1980834492414353e-06,0.0866476488742916,-0.5109147911215755,0.9557304345742157,0.04426956542578431,42,0.013616131618618965,False,False
6,2.965867412389355,0.5592548933775758,2.008160198954401,0.004377446248747221,1.483859889770119,0.0001551056420115706,8.747853652779925e-06,0.05639932590026191,0.7969928771085928,1.0449498610162349,0.0,42,2.9842262268066406,True,False
7,0.008869414011918627,0.2868654595216318,30.858233996318308,1.0908208187239489e-07,0.15460015100510147,1.976179377571146e-05,1.3000614019510758e-06,0.06578660908550399,0.16603064589199812,1.0109225931975105,0.0,42,0.025929735973477364,False,False
8,0.0076024335953631,0.32221656825945244,6.828040041702644,5.906762628017838e-07,0.3195653543265017,6.701293716387054e-06,4.126236082884616e-06,0.615737237840284,-0.5252902083199774,0.6765592580645098,0.3234407419354902,42,0.04739033430814743,False,False
9,0.18040333414320595,0.6665287341444708,1.0040198554872508,0.0008713208409917206,3.8042881926450827,2.723271348774191e-05,6.439293779802086e-06,0.23645435783329358,0.126338472598036,1.0298732824078078,0.0,42,0.45920681953430176,True,False
0,0.030454558729976468,0.20171202976515187,78.61331388511977,6.0491560691477e-07,2.521022873022888,4.5139844806244365e-05,2.2883166027405807e-05,0.5069394041035846,-0.17183859201286603,0.9128882465629987,0.08711175343700128,43,0.09136861562728882,False,False
1,0.8105231167397727,0.9970042252204694,1.0248714422951364,0.00036736330017506086,6.159163449081382,3.718582928465948e-06,2.5341828557750556e-07,0.06814915532408199,-0.8411043213822011,0.9426794509583678,0.057320549041632196,43,0.862860918045044,True,True
2,1.5571247773025878,0.9994987270727256,1.0011342695557488,0.015111208909997929,6.193834165409578,2.096707933706369e-06,1.5664088038602745e-07,0.07470801148213904,-0.6019190645309035,0.9550318236157068,0.04496817638429318,43,4.110311508178711,True,True
3,2.3732385993509366,0.9991644080421733,1.0060604683367906,0.0032640704144259805,6.187101408991805,2.6924650027482824e-06,1.5653315409945542e-07,0.0581374888586025,-0.6315482885774375,0.9632833684091597,0.036716631590840265,43,2.4106247425079346,True,True
4,0.057897192625309686,0.09263447808420168,48.97940833769583,2.39973701706639e-06,0.6240494427362407,7.872557698133209e-06,2.6422978177944e-06,0.3356339729870711,-0.4246997252173678,0.8574563438987775,0.14254365610122255,43,0.06793049722909927,False,False
5,0.0047007012391666395,0.27465713698142813,31.196897414556474,1.660195646181524e-08,0.18857272712027173,3.5179357269835755e-06,2.524690073176203e-06,0.7176623648383074,-0.358508660106208,0.7427118271731659,0.25728817282683414,43,0.1651693880558014,False,False
6,3.8395089458659375,0.591929799909767,1.4693853818162026,0.006680310619820575,2.773266669552898,3.4959769052490976e-05,7.15365807575504e-06,0.20462543860098306,-0.49588285143948535,0.8985297540294892,0.1014702459705108,43,3.8400373458862305,True,False
7,0.0690601743395348,0.15636239774649568,35.18096036687249,6.911203709910972e-06,0.4299219279801969,3.6999825386923965e-05,1.887109666846463e-06,0.051003204666835604,-0.43904906703497815,0.9776070905752318,0.022392909424768237,43,0.07723963260650635,False,False
8,0.015448577283782856,0.3455724925388815,38.018679765566404,6.727129994017997e-07,0.16608980905984513,1.0695855185221102e-05,2.038058522259805e-06,0.19054657032715563,0.6559059253737675,1.1249806245372307,0.0,43,0.3194604516029358,True,False
9,0.37995192057308325,0.7107637976054606,1.808927575420417,0.00015022175602507682,3.159392621874564,1.2269450545444234e-05,8.315328531236074e-06,0.6777262356156313,-0.3572560368696613,0.7578782109813653,0.24212178901863468,43,0.5578218698501587,True,False
